time,padx,pady,error_x,error_y,vx,vy,vz,h,tof,cam
2.030398,0,0,-36.299844288350705,-34.38489936936696,-23,-22,0,100,85,NA
2.110868,0,0,-33.417592735741295,-37.19226392340389,-14,-17,0,100,85,NA
2.191121,0,0,-30.328339709076076,-39.751626513777765,-13,-18,0,100,86,NA
2.271554,0,0,-27.036747833803744,-42.05965128922622,-11,-19,0,100,86,NA
2.352033,0,0,-23.56864940754578,-44.096697893427255,-10,-20,0,100,86,NA
2.432552,0,0,-19.945384167891405,-45.84955452777297,-8,-21,0,100,85,NA
2.513091,0,0,-16.191977390662064,-47.30560081195765,-6,-22,0,100,86,NA
2.593685,0,0,-12.331121658683655,-48.45558212052295,-5,-22,0,100,86,NA
2.674102,0,0,-8.397916262862498,-49.289704832165,-3,-23,0,100,86,NA
2.754671,0,0,-4.404481645806242,-49.80562760805004,-1,-23,0,100,85,NA
2.835216,0,0,-0.38294676016362095,-49.99853349628247,0,-23,0,100,86,NA
2.915816,0,0,3.6420460656269604,-49.86717858928708,2,-23,0,100,86,NA
2.996427,0,0,7.6468642312273225,-49.41179482096533,3,-23,0,100,85,NA
3.077039,0,0,11.601561152645571,-48.63541691834691,5,-23,0,100,85,NA
3.157555,0,0,15.475306240584704,-47.544872454977934,7,-22,0,100,85,NA
3.238028,0,0,19.248107992387222,-46.146617846960346,9,-21,0,100,85,NA
3.318571,0,0,22.897802186366857,-44.44874188359006,10,-21,0,100,85,NA
3.399104,0,0,26.399485513917792,-42.46253836737089,12,-20,0,100,85,NA
3.479823,0,0,29.73657441103002,-40.19622049766961,13,-19,0,100,84,NA
3.560636,0,0,32.88480633306289,-37.6641674863118,15,-18,0,100,84,NA
3.641388,0,0,35.81615203366597,-34.88844011275547,16,-17,0,100,85,NA
3.721996,0,0,38.50870619581045,-31.891684607821357,17,-15,0,100,85,NA
3.802563,0,0,40.950927497841455,-28.68835194057917,19,-14,0,100,83,NA
3.883162,0,0,43.127292040064326,-25.298946248628702,20,-12,0,100,83,NA
3.963979,0,0,45.0288515377436,-21.734822962054366,20,-11,0,100,83,NA
4.044756,0,0,46.63605259146696,-18.029936180861213,21,-9,0,100,83,NA
4.125443,0,0,47.93733639064559,-14.213084808375909,22,-7,0,100,83,NA
4.206073,0,0,48.92642246459608,-10.305589979029243,22,-5,0,100,82,NA
4.286672,0,0,49.5972971606864,-6.333096742871453,23,-4,0,100,82,NA
4.367181,0,0,49.94598651177562,-2.3234524668105734,23,-2,0,100,82,NA
4.447978,0,0,49.97057802470838,1.7150311590556662,23,0,0,100,82,NA
4.528482,0,0,49.670834661187875,5.727842880259296,23,1,0,100,82,NA
4.608986,0,0,49.04924366140357,9.704210232896923,23,3,0,100,82,NA
4.68955,0,0,48.10931306053629,13.619618087278102,22,4,0,100,81,NA
4.770058,0,0,46.857961648213646,17.44509759716291,22,6,0,100,82,NA
4.850512,0,0,45.304626837468795,21.153978044748513,21,8,0,100,82,NA
4.931041,0,0,43.4561461861532,24.72980708876806,20,10,0,100,82,NA
5.011558,0,0,41.32609724964367,28.145224925606726,19,11,0,100,82,NA
5.092113,0,0,38.92780009494939,31.378756823170328,18,13,0,100,82,NA
5.172854,0,0,36.26954379744444,34.41685913509917,17,14,0,100,80,NA
5.253239,0,0,33.389417274653994,37.21756056029247,16,15,0,100,80,NA
5.33381,0,0,30.286239029322886,39.78371181097509,14,16,0,100,74,NA
5.414294,0,0,26.988743536393027,42.090470683122604,13,18,0,100,62,NA
5.494924,0,0,23.511222038969656,44.127343430511054,11,18,0,100,61,NA
5.575356,0,0,19.889527862522947,45.87381258851202,10,19,0,100,61,NA
5.655893,0,0,16.135174180951765,47.32500559060028,8,20,0,100,61,NA
5.736334,0,0,12.279666259255613,48.468647562742035,6,21,0,100,68,NA
5.816861,0,0,8.341146259191621,49.29934359687534,4,21,0,100,113,NA
5.897544,0,0,4.340754670385117,49.811222118028084,3,21,0,100,173,NA
5.978076,0,0,0.3193815679002007,49.99897994373571,1,21,0,100,175,NA
6.0585,0,0,-3.697654226725567,49.863086077975346,0,21,0,100,177,NA
6.13897,0,0,-7.695000813131298,49.404321293647065,-2,21,0,100,174,NA
6.219436,0,0,-11.640024333822211,48.62622577897679,-4,21,0,100,174,NA
6.299992,0,0,-15.51556882534485,47.53174859003177,-5,20,0,100,180,NA
6.380429,0,0,-19.285029280235385,46.131200349226376,-7,20,0,100,173,NA
6.460997,0,0,-22.934910200267886,44.429606053910135,-9,19,0,100,172,NA
6.541413,0,0,-26.43042072460393,42.443289932808305,-10,18,0,100,172,NA
6.621884,0,0,-29.755329646294136,40.18233887717798,-12,17,0,100,164,NA
6.70234,0,0,-32.8894519514648,37.66011086457777,-13,16,0,100,172,NA
6.782981,0,0,-35.81584731440851,34.88875293201201,-15,15,0,100,172,NA
6.863433,0,0,-38.50398674525775,31.897382411743685,-16,13,0,100,169,NA
6.944007,0,0,-40.94652466926189,28.694635692225255,-17,12,0,100,169,NA
7.024399,0,0,-43.11847926645559,25.31396345395639,-18,11,0,100,176,NA
7.104887,0,0,-45.01427676744935,21.764992237615647,-19,9,0,100,173,NA
7.185265,0,0,-46.61651088591612,18.080401345746285,-20,7,0,100,167,NA
7.26591,0,0,-47.92121074930247,14.267359963249602,-20,6,0,100,175,NA
7.346488,0,0,-48.91430599695166,10.362946918544866,-21,4,0,100,175,NA
7.427003,0,0,-49.58927837985901,6.395582050513296,-21,2,0,100,175,NA
7.507558,0,0,-49.94313599987803,2.383939281459848,-21,0,0,100,181,NA
7.588033,0,0,-49.97315655975333,-1.638176869078174,-21,-1,0,100,181,NA
7.668544,0,0,-49.679523071589216,-5.6519896832385275,-21,-2,0,100,176,NA
7.749072,0,0,-49.06388755211032,-9.62989814452227,-21,-4,0,100,176,NA
7.829543,0,0,-48.13073206435088,-13.543730318847402,-21,-6,0,100,185,NA
7.909969,0,0,-46.88732832392827,-17.366014011400353,-20,-8,0,100,182,NA
7.990457,0,0,-45.33958496369647,-21.07894768055913,-19,-9,0,100,176,NA
8.070998,0,0,-43.49608594288784,-24.659491228509047,-19,-11,0,100,176,NA
8.151378,0,0,-41.37617557968256,-28.07155311697735,-18,-13,0,100,179,NA
8.231894,0,0,-38.98480014266274,-31.307912064470912,-17,-14,0,100,175,NA
8.312323,0,0,-36.34278383329502,-34.33951169202017,-15,-15,0,100,178,NA
8.392929,0,0,-33.46036668626438,-37.153786633676106,-14,-17,0,100,175,NA
8.473351,0,0,-30.366598424660392,-39.72240803520619,-13,-18,0,100,175,NA
8.553839,0,0,-27.075837219756636,-42.03449819908929,-11,-19,0,100,177,NA
8.634318,0,0,-23.6081944058201,-44.07553921277657,-10,-20,0,100,176,NA
8.714933,0,0,-19.982427032752998,-45.83342241073322,-8,-21,0,100,179,NA
8.795376,0,0,-16.234403723703817,-47.29105767199325,-6,-21,0,100,168,NA
8.876009,0,0,-12.37201693874112,-48.445156588326796,-5,-22,0,100,168,NA
8.956368,0,0,-8.443970170796268,-49.281836083436495,-3,-22,0,100,179,NA
9.03686,0,0,-4.453964033904506,-49.80122693653928,-1,-23,0,100,176,NA
9.117234,0,0,-0.4412055366739262,-49.99805333884918,0,-23,0,100,183,NA
9.197816,0,0,3.583913832861428,-49.871390211609544,1,-23,0,100,185,NA
9.278233,0,0,7.579574501455726,-49.42216153080399,3,-23,0,100,185,NA
9.358725,0,0,11.528527600993167,-48.65278050998872,5,-22,0,100,176,NA
9.439171,0,0,15.401331195799953,-47.56888686313018,7,-22,0,100,180,NA
9.519726,0,0,19.178681367532587,-46.175514951136805,9,-21,0,100,173,NA
9.60017,0,0,22.827806947796955,-44.484730301015794,10,-21,0,100,173,NA
9.680761,0,0,26.334608745117993,-42.50280440443377,12,-20,0,100,169,NA
9.761206,0,0,29.664686291501752,-40.2493029408807,13,-19,0,100,157,NA
9.841807,0,0,32.80899255885007,-37.730226705829914,15,-18,0,100,134,NA
9.922173,0,0,35.7321337842813,-34.974485203105175,16,-16,0,100,6553,NA
10.002722,0,0,38.430675534986314,-31.9856714471434,17,-15,0,100,6553,NA
10.083187,0,0,40.876912897383136,-28.793714452632756,18,-14,0,100,85,NA
10.163874,0,0,43.06439754220653,-25.40585885827905,19,-12,0,100,82,NA
10.244333,0,0,44.967529811799466,-21.861410353061075,20,-11,0,100,80,NA
10.324956,0,0,46.5818511011861,-18.16951149555009,21,-9,0,100,79,NA
10.405567,0,0,47.89375796817447,-14.359246069551318,22,-7,0,100,79,NA
10.486028,0,0,48.89290103882009,-10.463471126167702,22,-5,0,100,79,NA
10.56664,0,0,49.576677520906436,-6.49253771556628,23,-4,0,100,80,NA
10.647127,0,0,49.93819062213301,-2.4853807329073163,23,-2,0,100,81,NA
10.727717,0,0,49.97619009677456,1.5428620842616803,23,0,0,100,81,NA
10.80817,0,0,49.690493352666394,5.55471604752369,23,1,0,100,81,NA
10.888659,0,0,49.08306290059197,9.53168066484251,23,3,0,100,79,NA
10.969077,0,0,48.15875235013814,13.443755876914196,22,4,0,100,79,NA
11.049576,0,0,46.92161661758661,17.273155299256135,22,6,0,100,74,NA
11.130001,0,0,45.38255295368405,20.986278550664082,21,8,0,100,61,NA
11.210658,0,0,43.5441462934686,24.574525907390456,20,9,0,100,6553,NA
11.291125,0,0,41.42781132421666,27.99529333450725,19,11,0,100,6553,NA
11.371661,0,0,39.04117227443499,31.237587413849493,18,13,0,100,6553,NA
11.452061,0,0,36.40654525820541,34.2719048545925,17,14,0,100,6553,NA
11.532662,0,0,33.529213428681366,37.09166815949282,16,15,0,100,6553,NA
11.613373,0,0,30.42920491874958,39.67446896951169,14,16,0,100,6553,NA
11.693876,0,0,27.14048220016272,41.992787784840516,13,17,0,100,149,NA
11.774422,0,0,23.673883992588348,44.04029083357045,11,18,0,100,149,NA
11.855,0,0,20.052357831767576,45.8028704928714,10,19,0,100,159,NA
11.935534,0,0,16.302168592413743,47.26774057625897,8,20,0,100,169,NA
12.016025,0,0,12.448794576308407,48.425484133840875,6,21,0,100,167,NA
12.096611,0,0,8.510896125020768,49.270322174196366,3,22,0,100,167,NA
12.177078,0,0,4.521931514226351,49.79510151993514,1,22,0,100,169,NA
12.257634,0,0,0.5008746843019896,49.99749118256461,0,22,0,100,167,NA
12.338142,0,0,-3.5218720277796165,49.87580994249561,-2,22,0,100,167,NA
12.418593,0,0,-7.51844199825112,49.43149835802,-4,22,0,100,174,NA
12.499047,0,0,-11.466603194262467,48.667412209663766,-5,22,0,100,174,NA
12.57973,0,0,-15.351969708531515,47.584840296761854,-7,21,0,100,165,NA
12.660286,0,0,-19.130972747342014,46.19530151152233,-9,21,0,100,174,NA
12.740861,0,0,-22.78773216758224,44.50527230181316,-11,20,0,100,175,NA
12.82129,0,0,-26.289229977317145,42.53088744900263,-12,19,0,100,168,NA
12.901905,0,0,-29.62899955902175,40.27558050644943,-14,18,0,100,168,NA
12.982494,0,0,-32.77480817139927,37.75992517640864,-15,17,0,100,171,NA
13.06301,0,0,-35.70550144818059,35.00167376474979,-17,16,0,100,168,NA
13.143563,0,0,-38.40662276769461,32.01454868618332,-18,15,0,100,168,NA
13.224043,0,0,-40.85544421239671,28.824168300364533,-19,13,0,100,174,NA
13.304652,0,0,-43.04437332313911,25.43977054177632,-20,12,0,100,174,NA
13.385132,0,0,-44.94927348984272,21.898922638689843,-21,10,0,100,167,NA
